timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2027-02-06 18:07:33",116,-1,98424,37.686623,23.960403,1.6,216.6,30.49,35.05,33.5,0
"2027-02-06 18:07:34",117,0,98419,0,,5.35,224.8,30.53,34.95,,0
"2027-02-06 18:07:35",117,0,98414,0,,2.45,216.6,30.54,34.75,,0.1
"2027-02-06 18:07:36",118,0,98410,37.686547,23.960333,3.65,208.8,30.59,34.7,,0.1
"2027-02-06 18:07:37",119,1,98391,0,,4,229.4,30.63,34.65,,0.3
"2027-02-06 18:07:38",121,3,98372,0,,4,225.9,30.67,34.55,,0.4
"2027-02-06 18:07:39",123,5,98354,37.686465,23.96025,3.55,214.6,30.7,34.5,,0.6
"2027-02-06 18:07:40",124,6,98335,0,,4.45,227.7,30.7,34.4,,0.6
"2027-02-06 18:07:41",126,8,98316,0,,3.25,227,30.7,34.4,,0.8
"2027-02-06 18:07:42",128,10,98298,37.686387,23.960163,2.9,205,30.7,34.35,,1
"2027-02-06 18:07:45",133,15,98244,37.686292,23.960077,3.5,207.7,30.7,34.3,,1.4
"2027-02-06 18:07:46",134,16,98230,0,,4.6,204.4,30.7,34.25,,1.4
"2027-02-06 18:07:47",135,17,98216,0,,4.6,229.5,30.7,34.25,,1.5
"2027-02-06 18:07:48",137,19,98202,37.686195,23.959997,3.1,219.4,30.7,34.25,,1.6
"2027-02-06 18:07:48",138,20,98190,0,,4.05,193.1,30.72,34.25,,1.5
"2027-02-06 18:07:49",139,21,98179,0,,5.05,222.3,30.72,34.25,,1.5
"2027-02-06 18:07:50",140,22,98168,37.6861,23.95992,4.85,219.9,30.72,34.25,,1.4
"2027-02-06 18:07:52",141,23,98158,0,,4.1,208,30.72,34.2,,1.3
"2027-02-06 18:07:53",141,23,98149,0,,4.1,208,30.72,34.15,,1.3
"2027-02-06 18:07:54",142,24,98140,37.685997,23.959838,4.3,216.2,30.72,34.15,,1.2
"2027-02-06 18:07:54",143,25,98125,0,,4.05,221.6,30.72,34.15,,1.2
"2027-02-06 18:07:55",145,27,98110,0,,4.55,209.6,30.72,34.1,,1.2
"2027-02-06 18:07:56",146,28,98096,37.685898,23.959747,5.75,223.1,30.72,34.1,,1.2
"2027-02-06 18:07:59",149,31,98061,0,,3.75,208.5,30.72,34.05,,1.2
"2027-02-06 18:08:00",151,33,98044,37.68579,23.959652,4.5,206.7,30.72,34.05,33.25,1.2
"2027-02-06 18:08:00",152,34,98028,0,,4.7,216.2,30.72,34.05,,1.2
"2027-02-06 18:08:01",154,36,98012,0,,3.1,205.5,30.72,34.05,,1.3
"2027-02-06 18:08:02",155,37,97996,37.685692,23.95958,5.05,205.8,30.72,34.05,,1.3
"2027-02-06 18:08:04",157,39,97979,0,,4.65,219.2,30.72,34.05,,1.3
"2027-02-06 18:08:05",158,40,97963,0,,3.2,201.6,30.72,34.05,,1.4
"2027-02-06 18:08:06",160,42,97948,37.685595,23.959512,4.05,198.1,30.72,34.05,,1.4
"2027-02-06 18:08:07",161,43,97935,0,,5.1,222.3,30.72,34.05,,1.5
"2027-02-06 18:08:08",162,44,97921,0,,4.2,218.2,30.72,34.05,,1.4
"2027-02-06 18:08:09",163,45,97908,37.685497,23.959427,3.85,190.8,30.72,34.05,,1.4
"2027-02-06 18:08:10",165,47,97896,0,,4.75,201.8,30.72,34.05,,1.4
"2027-02-06 18:08:11",166,48,97885,0,,2.95,221.9,30.72,34.05,,1.3
"2027-02-06 18:08:12",167,49,97874,37.685407,23.95937,2.95,203.1,30.7,34.05,,1.3
"2027-02-06 18:08:13",168,50,97859,0,,4.75,211,30.7,34.1,,1.3
"2027-02-06 18:08:14",169,51,97844,0,,2.85,222.6,30.7,34.1,,1.3
"2027-02-06 18:08:15",171,53,97830,37.685327,23.959303,3.25,209.1,30.7,34.1,,1.3
"2027-02-06 18:08:16",173,55,97808,0,,5,207.2,30.7,34.05,,1.3
"2027-02-06 18:08:17",175,57,97786,0,,3.25,210.9,30.7,34.1,,1.4
"2027-02-06 18:08:18",177,59,97764,37.685237,23.95924,2.75,208.3,30.66,34.1,,1.4
"2027-02-06 18:08:19",179,61,97743,0,,4.7,207.1,30.66,34.1,,1.5
"2027-02-06 18:08:20",180,62,97724,0,,3.9,198.8,30.63,34.1,,1.5
"2027-02-06 18:08:21",182,64,97706,37.685138,23.959192,3,197.8,30.63,34.1,,1.5
"2027-02-06 18:08:22",183,65,97694,0,,4.65,224.3,30.62,34.15,,1.5
"2027-02-06 18:08:23",184,66,97682,0,,5.1,212.9,30.61,34.15,,1.5
"2027-02-06 18:08:24",185,67,97670,37.685038,23.959105,3.9,198.9,30.61,34.1,,1.5
"2027-02-06 18:08:25",187,69,97656,0,,3.75,221,30.59,34.1,,1.6
"2027-02-06 18:08:26",188,70,97643,0,,5.25,202.2,30.59,34.1,,1.5
"2027-02-06 18:08:27",189,71,97630,37.684932,23.959037,4.85,201.9,30.58,34.1,33,1.5
"2027-02-06 18:08:28",190,72,97618,0,,4.05,218.7,30.57,34.1,,1.4
"2027-02-06 18:08:29",191,73,97607,0,,4.7,207.9,30.56,34.1,,1.4
"2027-02-06 18:08:30",192,74,97596,37.684825,23.958957,4.7,207.6,30.55,34.1,,1.3
"2027-02-06 18:08:31",193,75,97585,0,,4.95,221.2,30.54,34.1,,1.3
"2027-02-06 18:08:32",194,76,97574,0,,5,204.9,30.53,34.15,,1.2
"2027-02-06 18:08:33",195,77,97564,37.684717,23.958875,4.4,206.9,30.53,34.15,,1.1
"2027-02-06 18:08:34",197,79,97547,0,,4.4,219.9,30.52,34.2,,1.1
"2027-02-06 18:08:35",198,80,97530,0,,5.45,209,30.51,34.2,,1.2
"2027-02-06 18:08:36",200,82,97514,37.684605,23.958785,5.1,212.5,30.49,34.2,,1.2
